LAST SEEN   TYPE      REASON                         OBJECT                                 MESSAGE
69s         Normal    ScalingReplicaSet              deployment/crashloop-demo              Scaled up replica set crashloop-demo-579dd5cddb from 0 to 1
69s         Normal    SuccessfulCreate               replicaset/crashloop-demo-579dd5cddb   Created pod: crashloop-demo-579dd5cddb-kntxt
63s         Normal    Pulling                        pod/crashloop-demo-579dd5cddb-kntxt    Pulling image "busybox:1.36.1"
60s         Normal    Pulled                         pod/crashloop-demo-579dd5cddb-kntxt    Successfully pulled image "busybox:1.36.1" in 2.908s (2.908s including waiting). Image size: 2217150 bytes.
25s         Normal    Pulled                         pod/crashloop-demo-579dd5cddb-kntxt    Container image "busybox:1.36.1" already present on machine
22s         Normal    Created                        pod/crashloop-demo-579dd5cddb-kntxt    Created container: demo
21s         Normal    Started                        pod/crashloop-demo-579dd5cddb-kntxt    Started container demo
3s          Warning   BackOff                        pod/crashloop-demo-579dd5cddb-kntxt    Back-off restarting failed container demo in pod crashloop-demo-579dd5cddb-kntxt_dev(84e90ef5-f494-425f-83ab-ff4587abfa61)
2s          Normal    ScalingReplicaSet              deployment/php-apache                  Scaled down replica set php-apache-6f9b6b7987 from 7 to 6
2s          Normal    SuccessfulDelete               replicaset/php-apache-6f9b6b7987       Deleted pod: php-apache-6f9b6b7987-c76xx
2s          Normal    SuccessfulRescale              horizontalpodautoscaler/php-apache     New size: 6; reason: All metrics below target
2s          Normal    Killing                        pod/php-apache-6f9b6b7987-c76xx        Stopping container php-apache
